carat	cut	color	clarity	depth	table	price	x	y	z
1.11	Premium	F	SI2	62.1	58	4283	6.63	6.51	4.1
0.38	Very Good	I	VVS1	62.6	59	630	4.6	4.64	2.89
0.9	Good	F	SI2	65.9	60	3465	5.98	6.01	3.95
0.43	Ideal	G	SI1	61.3	55	917	4.88	4.9	3
0.32	Very Good	H	SI1	63.1	58	591	4.36	4.33	2.74
0.64	Ideal	H	VS2	62.3	54	1831	5.52	5.55	3.44
0.66	Ideal	H	VS1	62.7	55	2222	5.6	5.57	3.5
1	Premium	D	SI2	58.3	61	4626	6.59	6.54	3.83
0.9	Premium	F	SI2	61.4	58	3619	6.13	6.19	3.78
2.02	Premium	H	SI1	62.1	61	16985	8.06	7.99	4.98
0.31	Very Good	H	VS1	63.1	58	698	4.3	4.26	2.7
1.21	Good	F	SI2	63.7	64	4669	6.73	6.63	4.25
0.92	Good	I	VS1	60.9	63	3723	6.27	6.34	3.84
2	Very Good	H	SI1	60.3	61	16092	8.11	8.17	4.91
0.76	Premium	E	SI2	60	59	2399	5.94	5.9	3.55
0.31	Ideal	F	VS2	62.8	56	802	4.32	4.28	2.7
0.51	Ideal	D	VS2	61.7	55	1882	5.14	5.11	3.16
1.51	Premium	G	SI2	60	60	6266	7.45	7.4	4.48
0.76	Ideal	H	VS2	62	56	3948	5.86	5.88	3.64
1.04	Premium	F	VVS2	59.2	58	8722	6.68	6.66	3.95
1.21	Fair	J	SI1	65	59	4147	6.64	6.57	4.29
1	Good	H	SI2	63.2	60	3740	6.27	6.3	3.97
0.5	Very Good	F	VS1	58.8	60	1657	5.18	5.2	3.05
1	Premium	E	VS1	61.1	60	7452	6.41	6.43	3.92
0.59	Very Good	F	SI1	62.4	59	1452	5.33	5.37	3.34
0.3	Ideal	H	VVS2	62.2	57	605	4.26	4.29	2.66
0.31	Ideal	H	VVS2	61.3	56	778	4.37	4.4	2.69
0.5	Very Good	G	SI1	62.8	55	1170	5.03	5.07	3.17
0.3	Premium	E	VS2	62.5	58	658	4.26	4.31	2.68
0.72	Premium	E	SI1	62.1	58	2265	5.69	5.72	3.54
0.76	Very Good	E	VS2	63.4	58	3517	5.76	5.82	3.67
0.58	Very Good	F	VS2	63	59	1667	5.27	5.39	3.36
0.82	Ideal	H	SI1	62.5	57	2832	5.91	5.97	3.71
0.51	Very Good	E	VS2	63.6	59	1577	4.99	5.07	3.2
1.12	Ideal	E	SI2	60.5	55	5000	6.73	6.79	4.09
0.62	Very Good	G	VS1	60.1	58	2161	5.52	5.54	3.32
0.54	Very Good	D	VS2	61.1	55	1892	5.24	5.37	3.24
0.25	Very Good	G	VVS1	61.7	56	525	4.07	4.09	2.51
0.8	Very Good	E	VS1	60.7	60	4118	6	6.09	3.67
0.24	Ideal	F	VVS1	60.8	55	678	4.03	4.06	2.46
0.3	Premium	G	VS1	61.9	59	776	4.32	4.28	2.66
1.01	Fair	G	VS2	65.7	54	4072	6.32	6.28	4.14
1.54	Premium	G	SI1	61.8	59	11107	7.32	7.37	4.54
0.71	Good	F	IF	62.1	62	3393	5.68	5.79	3.56
0.9	Good	E	SI2	61.6	61	3595	6.12	6.16	3.78
0.94	Premium	H	VS2	62.5	58	4264	6.26	6.18	3.89
2.07	Ideal	I	VS2	60.3	59	17045	8.23	8.28	4.98
2.11	Ideal	J	VS1	61.8	56.2	15766	8.2	8.23	5.07
0.91	Ideal	E	SI2	60.8	56	3898	6.29	6.25	3.81
1.13	Ideal	E	VS2	62	54	8404	6.7	6.66	4.14
0.38	Ideal	E	VS2	61.7	54.3	853	4.68	4.69	2.89
1.2	Ideal	F	VS2	62.6	56	8486	6.78	6.73	4.23
0.33	Ideal	D	VVS2	60.9	57	1021	4.48	4.46	2.72
1.32	Fair	H	I1	65.8	55	4140	6.87	6.83	4.51
1.03	Ideal	I	SI2	62.3	59	4162	6.39	6.45	4
2	Ideal	H	I1	62.5	57	7204	8.05	7.98	5.01
0.6	Good	I	VS1	60.1	62	1378	5.42	5.49	3.28
1.08	Premium	G	VS1	63	59	7523	6.56	6.5	4.11
0.41	Very Good	E	SI1	61.8	60	705	4.74	4.78	2.94
0.45	Very Good	G	SI2	59.7	61	764	4.95	5	2.97
0.33	Premium	H	VS1	62.9	59	743	4.4	4.35	2.75
0.37	Ideal	E	VVS1	61.5	56	1103	4.59	4.64	2.84
0.31	Premium	F	IF	60.8	59	1122	4.39	4.36	2.66
0.83	Ideal	F	SI1	62.1	55	3198	6.05	6	3.74
1.23	Ideal	H	SI1	61	56	6439	6.96	6.92	4.23
1.19	Very Good	H	VS2	60.5	59	6781	6.97	7	4.17
0.41	Very Good	F	VVS1	63.3	55	1143	4.7	4.74	2.99
0.63	Ideal	G	IF	61.9	56	3363	5.5	5.52	3.41
0.76	Ideal	F	SI1	61.7	55	2682	5.87	5.9	3.63
0.57	Ideal	G	VS2	60.7	55	1613	5.41	5.39	3.28
0.71	Very Good	D	SI2	63.3	55	2458	5.72	5.65	3.6
1.5	Premium	J	SI2	61.3	59	5351	7.38	7.33	4.51
2.12	Premium	H	SI2	62.3	58	12693	8.25	8.16	5.12
0.42	Premium	G	SI1	61.7	58	737	4.76	4.8	2.95
0.52	Ideal	E	VS2	61.7	57	1694	5.17	5.1	3.17
0.41	Ideal	E	VS2	62.3	56	999	4.77	4.74	2.96
0.38	Ideal	E	VS2	61.9	57	963	4.66	4.61	2.87
1	Very Good	I	VS1	60.8	59	5557	6.39	6.44	3.9
1.29	Very Good	F	I1	58.2	61	3774	7.11	7.15	4.15
1.13	Ideal	H	SI1	62	57	5050	6.73	6.66	4.15
0.51	Ideal	D	VS1	62.5	57	1779	5.08	5.13	3.19
0.4	Ideal	D	VS2	61.3	57	982	4.75	4.77	2.92
0.51	Very Good	E	VVS1	59.9	57	2501	5.22	5.24	3.14
1.5	Good	E	I1	62.4	64	4989	7.22	7.26	4.52
0.3	Ideal	G	VS1	61.9	56	605	4.29	4.34	2.67
0.31	Very Good	G	VS1	63.2	56	802	4.32	4.29	2.72
0.7	Ideal	D	SI2	61.6	56	2384	5.73	5.69	3.52
0.31	Premium	F	VS2	59	59	625	4.44	4.47	2.63
1.2	Ideal	G	VS1	62	57	8545	6.78	6.81	4.21
1.24	Very Good	E	VS1	62	58	10185	6.9	6.96	4.3
0.72	Ideal	H	SI1	61.8	54	2359	5.76	5.8	3.57
1.44	Ideal	G	I1	63.2	55	6096	7.21	7.18	4.54
0.73	Ideal	G	VS1	62	55	3342	5.74	5.79	3.58
1.14	Premium	F	SI2	60.8	58	5008	6.79	6.74	4.11
1.7	Premium	I	SI2	61.7	56	7140	7.66	7.57	4.7
0.71	Premium	D	SI1	61.7	56	2863	5.8	5.68	3.54
0.59	Fair	F	VS2	64.4	56	2443	5.31	5.28	3.41
0.31	Premium	F	VS2	61.4	62	802	4.34	4.32	2.66
0.3	Very Good	D	VVS2	59.6	61	880	4.39	4.34	2.6
0.52	Ideal	D	SI1	62.4	56	1720	5.17	5.12	3.21
